trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
46,False,"{'a': 0.5, 'e': 0.39482030698795667}",30,15,7.852134678613973,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.38692390084819756}",20,0,-12.752374033495494,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.3791854228312336}",20,11,7.301942824185186,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.3716017143746089}",30,19,-3.878103988401061,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.36416968008711675}",30,3,-71.06914271561631,"{0: 21, 1: 1, 2: 2, 3: 2, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.3568862864853744}",25,18,13.109187897248063,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.3497485607556669}",20,10,7.655552378502362,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.34275358954055357}",20,0,-25.05017979236053,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.3358985177497425}",30,4,38.63695539659416,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.3291805473947476}",20,9,20.20376325400204,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.32259693644685267}",30,13,-0.042134653220085694,"{0: 12, 1: 5, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.3161449977179156}",20,0,18.225511835714798,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.3098220977635573}",25,18,3.958055487843592,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.30362565580828615}",20,0,-30.851111951505718,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.2975531426921204}",30,19,-16.599571451769677,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.291602079838278}",25,8,2.115814547407009,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.2857700382415124}",30,12,-7.604507501497662,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.2800546374766822}",20,8,-5.845992623504747,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.2744535447271485}",20,7,18.209661256063054,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.2689644738326056}",20,9,12.926900058812775,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.26358518435595346}",25,5,-11.866799705702643,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
