trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.5, 'e': 0.1659335687639496}",25,0,4.1834878641968185,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.1592962260133916}",30,0,46.33610551840197,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.15292437697285594}",30,0,-2.626842273909526,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.1468074018939417}",35,13,-7.235115968036806,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.14093510581818403}",30,17,22.444164183213438,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.13529770158545665}",20,0,-28.017209778209786,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.12988579352203838}",25,0,-4.097766975230192,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.12469036178115685}",25,0,28.32402274065845,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.11970274730991057}",25,0,35.72590615363927,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.11491463741751413}",25,0,27.472864681736894,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.11031805192081356}",20,0,10.64420841336966,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.10590532984398102}",20,0,30.557138833653777,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.10166911665022178}",25,4,-10.122650210411912,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.0976023519842129}",30,17,25.989684803725602,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.09369825790484439}",25,0,11.00985193045121,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.0899503275886506}",20,0,29.518179144848684,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.08635231448510458}",35,0,7.848258270231279,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.08289822190570038}",20,12,3.2392015265497696,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.07958229302947237}",25,11,-16.18592992749112,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.07639900130829347}",25,0,36.55866623632544,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
